"","professor_id","professor_name","department","university","quality","difficulty","emotion","class_name","comment","thumbs_up","thumbs_down","review_date"
"1",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2013","This class is easy if you read the textbook and take good notes. His lectures are pretty average I don't necessarily feel like they add much content-wise that you can't teach yourself. He assigns homework that are exactly the same as the tests so I pretty much used the homework as a study guide and did great on each exam.",0,0,2023-04-07
"2",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,1,"AWESOME","ECO2013","Online zooms were available but not mandatory. He is a bit hard to understand but overall is a great teacher. Goes over all material and answers any questions you have. Only 3 homework and 3 exams for the entire semester. Homework had unlimited tries so easy A. Exams were similar to homework.",0,0,2022-12-01
"3",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,3,"AWESOME","ECO2013","Plenty of online resources and easy to follow. Can be difficult to understand, but material was fairly easy. No issues taking this class in 5 weeks in the summer.",0,0,2022-11-01
"4",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",2,2,"AWFUL","ECO3113","The tests weren't too bad, most of the answers you could find online. This class is just boring and it's hard to understand him. If this class was in person I wouldn't take him again. You only have three tests and three homework for your overall grade.",0,0,2021-05-04
"5",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,2,"AWESOME","ECO2013","(Fall 2020) Great professor to take if you just want an easy Economics credit. 3 homework assignments (unlimited attempts on each question) and 3 exams. You can find the answers to the exams online easily. Lectures are not mandatory",0,0,2020-12-12
"6",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",4,2,"AWESOME","ECO2013","This class was really easy online all we do is answer a couple questions each week.",0,0,2020-11-21
"7",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",3,2,"AVERAGE","ECO2013","Classes are very boring and he's hard to understand; took attendance randomly maybe 4 times the whole semester. 4 tests but he drops the lowest one. Tests are 80% straight from the online homework. The last 3 tests we got a cheat sheet. He posts all his powerpoints on blackboard and in class he reads straight from them. It's not hard, just boring.",0,0,2019-05-14
"8",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,4,"AWESOME","ECO3113","Graded only on tests and a few homework and posts pages from the books for you to study on your own. If you don't, then you probably won't do very well. As with any math class, w/o practice it will be hard to follow lectures. I suggest attending office hours for help and after tests, since he's willing to give back credit if you prove urself",0,0,2019-04-28
"9",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,1,"AWESOME","ECO2013","easy A. all i gotta say.",0,0,2019-04-23
"10",383409,"Fathali Firoozi","Economics department","University of Texas at San Antonio",5,5,"AWESOME","ECO6113","This is a shockingly difficult class. Firoozi goes over concepts from linear algebra and calculus at a very basic level, but tests you on these concepts at a much more advanced level. At least take Calculus II before taking Mathematical Economics. He says he takes into consideration students with a lower math background, but this isn't always true.",0,0,2018-12-08
